LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income,Population Density Rank,Population Per Sq Mile,Square Miles,banks/person/mile,altbanks/person/mile
Echo Park,235,37708,123,0.538,1,1,68647,29,16868,2.39828121013,5.92839E-05,5.92839E-05
Valinda,94,70037,153,0.482,0,0,68647,79,10748,2.00667989076,0,0
Southeast Antelope Valley,93,70134,194,0.393,0,0,68647,258,27,192.960465064,0,0
Westmont,242,31572,142,0.514,1,1,68647,28,17066,1.84381583493,5.8596E-05,5.8596E-05
Angeles Crest,86,72841,172,0.452,0,0,68647,264,3,430.477491127,0,0
Watts,262,25161,154,0.482,7,1,68647,27,17346,2.12239731805,0.000403551,5.76502E-05
Lake Hughes,82,74918,197,0.389,0,0,68647,255,61,9.38403052074,0,0
Elizabeth Lake,78,75951,196,0.39,0,0,68647,246,219,6.30556759372,0,0
Green Valley,72,78712,189,0.42,0,0,68647,245,290,2.60519770856,0,0
Desert View Highlands,69,80867,51,0.645,0,0,68647,168,5160,.443173884018,0,0
Adams-Normandie,255,29606,114,0.545,0,1,68647,10,21848,.805350187789,0,4.57708E-05
Acton,58,83983,219,0.316,0,0,68647,248,166,39.3391089485,0,0
Hancock Park,55,85277,159,0.473,0,0,68647,149,6459,1.51797955698,0,0
Tujunga Canyons,54,85625,198,0.384,0,0,68647,261,11, 229.89337376,0,0
Ramona,53,86325,15,0.702,0,0,68647,228,1122, 3.6125750528,0,0
Playa del Rey,47,91339,173,0.451,0,0,68647,189,3542,2.75429310607,0,0
Ridge Route,43,92822,165,0.462,0,0,68647,263,7,292.673206784,0,0
San Pasqual,42,92917,80,0.601,0,0,68647,126,8036,.259126738332,0,0
North Whittier,39,93841,88,0.588,0,0,68647,238,797,5.45993969843,0,0
Northwest Palmdale,34,103013,188,0.421,0,0,68647,243,540,5.78532939766,0,0
Beverlywood,33,105253,210,0.348,0,0,68647,131,7654,.794341836932,0,0
Agua Dulce,32,106078,231,0.282,0,0,68647,252,99,31.4626319451,0,0
Hasley Canyon,31,106489,110,0.547,0,0,68647,250,136,3.10198451154,0,0
Leona Valley,24,117526,208,0.353,0,0,68647,253,90,15.3283588666,0,0
Topanga,21,120319,247,0.227,0,0,68647,244,386,19.2379682469,0,0
Stevenson Ranch,19,122833,127,0.534,0,0,68647,202,2765,3.11369076044,0,0
Bradbury,18,123773,145,0.513,0,0,68647,241,658,1.92842214364,0,0
West San Dimas,17,125984,93,0.581,0,0,68647,234,937,0.32978537849,0,0
Unincorporated Santa Monica Mountains,13,132997,223,0.309,0,0,68647,251,100,89.2560828786,0,0
La Habra Heights,11,137034,121,0.539,0,0,68647,232,979,6.22726592484,0,0
Rolling Hills,3,184777,193,0.396,0,0,68647,236,893,3.60212631276,0,0
Hidden Hills,2,203199,251,0.207,0,0,68647,229,1100,1.70397314929,0,0
Bel-Air,1,207938,228,0.301,0,0,68647,225,1207,6.37332143094,0,0
